start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0 days 00:00:00,0 days 00:00:00.060000,0.0,0.6220313,0.0,0.0,0.0,-100.0,0.14963959,0.98834115,0.011260357,0.028472222,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00089088414,0.000109088374,72.916664,125.0,187.5,312.5,0.024571694,191.5705,3.346365,98392.31,9.05752,136.51176,-0.0012962738,0.1905155,0.0010957363,29.131815,8.457002,10.256844,12.838084,5.7019496,-5.7437396,4.995645,10.268441,2.5416605,-9.545124,-0.96104574,-5.4292045,-1.319562,1.1176068
0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,0.6201337,0.0,0.0,0.0,-100.0,0.14411373,0.98834115,0.009670913,0.027777776,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0007612731,9.341204e-05,52.083332,83.333336,135.41667,260.41666,0.041011635,152.04625,2.9156742,83046.914,10.057551,165.66887,-0.0014560753,0.14850698,0.00068548275,28.267326,8.246692,10.311575,11.057712,3.131684,-4.2150702,8.423022,11.851353,8.181405,-7.7753296,4.0600996,-1.1045221,-1.736598,3.4438818
0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.6202304,0.0,0.0,0.0,-100.0,0.14471768,0.98834115,0.008635637,0.028819444,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00080529676,9.052659e-05,31.25,62.5,114.583336,239.58333,0.05545171,123.983116,2.750001,62551.72,10.270192,178.91199,-0.0018094634,0.12018809,0.0006079305,29.694178,8.389603,10.920677,9.993968,1.8081087,-3.568498,11.212212,16.225893,7.0653615,-11.147075,6.862358,3.067665,2.019553,4.4184475
0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.6204195,0.0,0.0,0.0,-100.0,0.14084971,0.98834115,0.008535064,0.031944443,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0006398323,0.000103611936,62.5,93.75,135.41667,312.5,0.050761435,159.58678,2.953209,83096.61,9.253987,150.70775,-0.001332879,0.15584843,0.0006832085,29.874529,7.9403424,7.8290343,11.941295,5.3847394,-2.951579,4.259191,16.125078,4.5925717,-12.134644,6.8347697,9.166473,3.9186919,1.0565554
0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.6392157,0.0,0.0,0.0,-100.0,0.13837649,0.97484714,0.007878401,0.033680554,0.12613674,0.2803432,0.40916243,0.54690164,0.6784561,0.74029875,0.8178002,0.88211036,0.97120804,1.0528932,1.086509,1.1693302,1.2318048,1.2633198,1.2844416,1.3152779,1.4012784,1.4151589,1.42938,1.4349747,1.3587717,1.2101299,1.0371585,0.8761127,0.72625184,0.60081315,0.0006320253,0.0001029078,83.333336,125.0,166.66667,343.75,0.041043192,185.8026,3.1828635,85831.0,8.941147,141.60297,-0.0011495337,0.18539792,0.00090573536,30.859201,8.677992,8.706218,14.285129,7.83532,-3.1466904,2.3227012,18.245752,1.5575341,-12.426381,5.6787333,7.5893745,4.253027,-2.1591969
0 days 00:00:00.050000,0 days 00:00:00.110000,0.0,0.63529545,0.0,0.0,0.0,-100.0,0.12868258,0.94922704,0.006816006,0.03263889,0.12314516,0.30001387,0.39824596,0.51750726,0.67822,0.690388,0.79118556,0.8293424,0.93659925,1.0450648,1.0504555,1.1648456,1.2682384,1.2595118,1.220537,1.2110325,1.3436899,1.3429798,1.3735223,1.430242,1.3605342,1.1760325,0.99287415,0.8511568,0.7160909,0.60844433,0.0003834522,9.338657e-05,104.166664,135.41667,166.66667,312.5,0.03190009,199.61061,3.1162717,95315.57,9.213005,141.68396,-0.0007960857,0.19959445,0.0007803612,29.247559,9.7822485,7.924717,16.728243,10.250068,-3.7852333,3.9791842,23.093893,5.9963493,-12.12843,5.2196946,7.32148,0.04783714,-4.6158085
0 days 00:00:00.060000,0 days 00:00:00.120000,0.0,0.6517589,0.0,0.0,0.0,-100.0,0.122579835,0.9170973,0.0057620425,0.030208334,0.11433062,0.30839065,0.3772355,0.47050092,0.67206365,0.631191,0.75785017,0.7590396,0.8707698,0.9806555,1.009568,1.1501458,1.2829131,1.2639525,1.1529468,1.0782098,1.2703749,1.2903626,1.3125911,1.4162688,1.3822848,1.1630301,0.9570609,0.83849317,0.7138617,0.6204367,0.00031615785,7.1027374e-05,72.916664,135.41667,208.33333,312.5,0.026569968,206.93805,3.178952,127208.44,9.028424,133.67021,-0.0006505952,0.20292121,0.00064403214,26.991438,10.010588,9.864433,13.711766,6.1318264,-9.870289,2.544984,25.213312,6.671051,-13.37077,2.842209,6.666138,0.42696548,-3.3796136
0 days 00:00:00.070000,0 days 00:00:00.130000,0.0,0.64754564,0.0,0.0,0.0,-100.0,0.123036146,0.8981144,0.005075989,0.028125001,0.105305575,0.2957102,0.35975337,0.43674275,0.653526,0.60400385,0.75303507,0.7087057,0.803751,0.86485404,0.9710762,1.0941194,1.2669896,1.278232,1.1524215,1.0177635,1.215101,1.2837147,1.2766303,1.403978,1.4297142,1.1923137,0.96758777,0.8551915,0.7370345,0.62371963,0.00035102144,7.130338e-05,72.916664,135.41667,250.0,395.83334,0.02986434,229.78413,3.4506168,166174.64,7.971394,102.79944,-0.0005242834,0.22241227,0.0005071074,26.106375,10.05231,7.709162,13.569356,3.7406247,-12.00935,3.9966106,23.098602,4.480026,-14.552257,4.3408566,7.4326873,1.3713883,-3.247988
0 days 00:00:00.080000,0 days 00:00:00.140000,0.0,0.6691702,0.0,0.0,0.0,-100.0,0.12674779,0.89786214,0.0054098214,0.024305554,0.09491456,0.26237926,0.34634414,0.44147685,0.6452125,0.6227595,0.77223325,0.69242126,0.79832095,0.7529001,0.9454,1.0537045,1.2253976,1.2770094,1.1736034,1.0187795,1.2101222,1.3218511,1.2731415,1.3806971,1.4777317,1.2414297,1.0047828,0.88313216,0.7914843,0.6371846,0.0004343828,6.3481995e-05,52.083332,104.166664,239.58333,458.33334,0.042159393,215.75392,3.4039018,166820.19,8.075565,111.624146,-0.00061202934,0.20673071,0.00039642653,26.275251,10.547703,5.8546386,10.07131,-1.8473357,-11.159373,2.6638546,20.800253,4.359071,-14.125176,1.0049849,7.343368,4.3374767,-1.2256564
0 days 00:00:00.090000,0 days 00:00:00.150000,0.0,0.6794298,0.0,0.0,0.0,-100.0,0.12851037,0.91065043,0.007165383,0.019791666,0.091391616,0.23110373,0.3522602,0.4931867,0.6554075,0.68676156,0.8467372,0.7199259,0.80752134,0.7228505,0.9279174,1.0135702,1.1498927,1.242895,1.193894,1.072586,1.2507855,1.3569274,1.2759178,1.3547949,1.5150322,1.2658213,1.040162,0.904119,0.85037845,0.6550717,0.0006297696,5.10918e-05,52.083332,62.5,166.66667,437.5,0.036488127,173.11267,2.9998293,119555.28,9.427575,155.84149,-0.0009217663,0.16761653,0.0003877161,27.402544,13.059787,5.456386,7.537113,-4.897789,-9.381613,5.1816087,20.223822,6.753994,-8.423554,2.6210508,4.015499,1.1628591,-0.9114966
