start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0 days 00:00:00,0 days 00:00:00.060000,0.0,0.70189846,0.0,0.0,0.0,-100.0,0.26312795,0.98834115,0.011264912,0.019652305,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.002570872,0.00030381806,71.77734,143.55469,186.6211,315.8203,0.040325046,225.01355,2.8910828,474253.84,19.317572,492.12534,-0.002544784,0.21618555,0.0037323618,29.172842,8.803218,10.158179,13.632541,5.4918904,-4.640697,4.772458,11.6965685,2.541564,-8.211322,-0.86627465,-4.1464133,-1.1672071,2.1708577
0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,0.0,0.0,0.0,0.0,-100.0,0.25361475,0.98834115,0.00966991,0.019400353,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0021891526,0.00026045175,57.421875,100.48828,143.55469,272.7539,0.06746497,184.16399,2.4967234,406330.1,20.465956,544.35486,-0.002749048,0.17418061,0.0023291984,28.273447,8.72566,10.174152,12.015159,2.904498,-2.9254024,8.171335,13.527438,8.053154,-6.17338,4.138994,0.4788011,-1.6131014,4.800928
0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.69899005,0.0,0.0,0.0,-100.0,0.2550486,0.98834115,0.008633883,0.020282187,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0022915176,0.00025147083,43.066406,71.77734,129.19922,272.7539,0.09125308,154.41591,2.3663228,328207.78,21.88521,606.7393,-0.0033545385,0.14574365,0.001078178,29.611338,9.020733,10.669913,11.095258,1.5069686,-2.063413,10.850925,18.07022,6.715673,-9.295776,6.8523097,4.8192725,1.9887232,5.9741807
0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.69205815,0.0,0.0,0.0,-100.0,0.24824579,0.98834115,0.008531097,0.022675738,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0018248255,0.00029315558,71.77734,86.13281,157.91016,344.53125,0.079521954,193.58406,2.5821354,430489.38,19.391428,466.3629,-0.0024711334,0.18289971,0.0013998604,29.749826,8.566742,7.618263,12.954349,5.038099,-1.5165329,3.8276746,17.82049,4.204297,-10.48347,6.637962,10.72092,3.788864,2.3041172
0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.7089837,0.0,0.0,0.0,-100.0,0.24390192,0.9751098,0.007882256,0.022801712,0.125355,0.28110608,0.40982828,0.54672694,0.6783026,0.740845,0.817559,0.882117,0.971293,1.0524712,1.0868764,1.1687067,1.2318671,1.2633175,1.2842008,1.3152238,1.4029919,1.4152104,1.4297444,1.4358066,1.3597627,1.2112652,1.037987,0.8763907,0.7269078,0.6009883,0.0017846205,0.00028997203,86.13281,114.84375,186.6211,358.88672,0.063846886,218.64702,2.7769907,478627.78,18.622526,426.03845,-0.0022359064,0.20986445,0.0023003975,30.65127,9.245074,8.349901,15.086535,7.2754955,-2.051671,1.6098042,19.480585,0.8417093,-11.147264,5.095203,8.712773,3.7763386,-1.2970945
0 days 00:00:00.050000,0 days 00:00:00.110000,0.0,0.705272,0.0,0.0,0.0,-100.0,0.22661829,0.9498736,0.006822497,0.021667928,0.12039823,0.30190954,0.39992714,0.5174796,0.6780579,0.6917638,0.7906015,0.82953304,0.9364657,1.0437394,1.0516407,1.1636353,1.2685094,1.2595547,1.220347,1.2112852,1.3477588,1.3426567,1.3737742,1.4315935,1.3621799,1.1796565,0.9954141,0.8524738,0.71843666,0.6079182,0.0010920551,0.0002635379,100.48828,129.19922,186.6211,301.46484,0.04972126,234.1262,2.647851,559922.1,17.565643,373.2675,-0.0016264422,0.22379248,0.0029710277,28.996027,10.250886,7.462942,17.379875,9.485198,-3.0912085,3.168335,23.928812,5.173037,-11.176926,4.402061,8.168012,-0.5218186,-3.9302635
0 days 00:00:00.060000,0 days 00:00:00.120000,0.0,0.71581763,0.0,0.0,0.0,-67.65284,0.21606202,0.9180293,0.005769626,0.019778281,0.110581435,0.3113811,0.37957624,0.47061732,0.6719224,0.6334134,0.7569962,0.7593643,0.87060446,0.9771852,1.0115861,1.1485271,1.2834932,1.2639287,1.1529186,1.0787238,1.2766342,1.2895766,1.3116499,1.4174505,1.3837248,1.170085,0.9614778,0.8408535,0.7176602,0.6188304,0.0009014548,0.0001969721,71.77734,143.55469,229.6875,330.17578,0.04775077,267.83328,2.7800283,822134.25,15.488187,296.81058,-0.0012990114,0.24812134,0.0022975572,26.852144,10.700935,9.613816,14.747489,5.7149467,-8.678418,2.2521095,26.700994,6.303459,-11.758971,2.3421116,8.094206,0.16409867,-2.1805444
0 days 00:00:00.070000,0 days 00:00:00.130000,56.418694,0.71448994,0.0,0.0,0.0,-35.290646,0.21662675,0.89889055,0.005085831,0.018770471,0.102077365,0.29888147,0.361768,0.4369069,0.65350807,0.6063046,0.75196314,0.70865077,0.8036153,0.8589279,0.97323686,1.0929483,1.2676635,1.2777969,1.1528965,1.018859,1.221353,1.2821436,1.2731701,1.40377,1.4294144,1.2020837,0.9730942,0.85742897,0.7411172,0.62157565,0.0010047918,0.00019861352,71.77734,143.55469,272.7539,430.66406,0.052681457,306.68542,3.0691862,1067609.5,13.30645,221.65324,-0.0010376467,0.2788656,0.001744931,25.962057,10.728278,7.548056,14.644567,3.3244002,-10.8764715,3.7523124,24.58985,4.238542,-12.907603,3.840865,8.888625,1.2462273,-2.0211523
0 days 00:00:00.080000,0 days 00:00:00.140000,56.737637,0.7423752,0.0,0.0,0.0,-2.9453201,0.22324665,0.89798635,0.0054227686,0.015873015,0.094287015,0.26532832,0.3470012,0.44112253,0.6451954,0.6244404,0.7709463,0.69140357,0.79874015,0.7436371,0.94678956,1.0529658,1.2257723,1.275967,1.1743226,1.0197343,1.2154374,1.3205014,1.2671288,1.37875,1.4748335,1.2517632,1.0098488,0.883924,0.79491204,0.6328902,0.001247099,0.00017756742,57.421875,114.84375,272.7539,502.4414,0.068892166,298.91727,3.1087275,1081803.9,12.719588,199.66505,-0.0011307545,0.2694459,0.0011082689,26.275307,11.338626,6.0188622,11.335261,-1.8983251,-9.725966,2.9192915,22.715006,4.7074275,-12.267131,0.9559787,9.1004715,4.645926,0.22063656
0 days 00:00:00.090000,0 days 00:00:00.150000,57.450394,0.757252,0.0,0.0,0.0,-0.27499947,0.22650951,0.90989524,0.007184711,0.012597632,0.09351174,0.23414086,0.35169306,0.4920304,0.65536404,0.68762636,0.8452695,0.7180097,0.80770135,0.71182543,0.9279208,1.0127236,1.1499205,1.2413529,1.1937904,1.0735092,1.25464,1.3564628,1.269147,1.3518324,1.5096794,1.2748766,1.0434458,0.9018634,0.85226136,0.6466779,0.0017820086,0.00014251744,57.421875,71.77734,215.33203,473.73047,0.056461353,241.24852,2.725728,831903.44,14.660579,262.71887,-0.001617326,0.22083269,0.0011476749,27.493876,13.819821,5.75572,8.78113,-4.783324,-7.8920045,5.508159,22.135809,7.1533165,-6.5435505,2.69653,5.758335,1.4166126,0.46094334
